1,心,
2,身体,
3,症状,
4,物質,
5,環境,
6,人間関係,
7,習慣・癖,
8,依存・中毒,
9,病気・災害,
10,ポジティブ,1
11,ネガティブ,1
12,部位,2
13,組織,2
14,感覚機能,3
15,身体機能,3
16,生理機能,3
17,生活物質,4
18,脳内物質,4
19,公害物質,4
20,生活環境,5
21,対人環境,5
22,身内・近隣,6
23,学校・仕事,6
24,ネット,6
25,生活習慣,7
26,癖,7
27,物質依存,8
28,行為依存,8
29,関係依存,8
30,自然・災害・病気,9
31,安心,1/10
32,幸福,1/10
33,希望,1/10
34,愛しさ,1/10
35,期待,1/10
36,信頼,1/10
37,尊敬,1/10
38,憧れ,1/10
39,感謝,1/10
40,親近感,1/10
41,快感,1/10
42,喜び,1/10
43,感動,1/10
44,満足,1/10
45,その他,1/10
46,羞恥,1/11
47,不安,1/11
48,苛立ち,1/11
49,恐怖,1/11
50,嫌悪,1/11
51,悲観,1/11
52,緊張,1/11
53,焦り,1/11
54,寂しさ,1/11
55,抑うつ,1/11
56,貪欲,1/11
57,後悔,1/11
58,不満,1/11
59,嫉妬,1/11
60,恨み,1/11
61,絶望,1/11
62,罪悪感,1/11
63,優越感,1/11
64,劣等感,1/11
65,プライド,1/11
66,その他,1/11
67,頭,2/12
68,目,2/12
69,鼻,2/12
70,口,2/12
71,喉,2/12
72,耳,2/12
73,首,2/12
74,肩,2/12
75,脇,2/12
76,手,2/12
77,足,2/12
78,胸・肺,2/12
79,背中,2/12
80,胃・腸,2/12
81,腹,2/12
82,丹田,2/12
83,腰,2/12
84,尻,2/12
85,鼠蹊部,2/12
86,泌尿器・肛門,2/12
87,その他,2/12
88,皮膚,2/13
89,筋肉,2/13
90,骨・関節,2/13
91,脂肪,2/13
92,爪・髪の毛,2/13
93,その他,2/13
94,痛み,3/14
95,痒み,3/14
96,痺れ,3/14
97,疲れ,3/14
98,だるさ,3/14
99,不快感,3/14
100,寒け・暑さ,3/14
101,吐き気,3/14
102,その他,3/14
103,痣,3/15
104,腫れ,3/15
105,むくみ,3/15
106,こり,3/15
107,抜け毛,3/15
108,異臭,3/15
109,近視・遠視,3/15
110,老化,3/15
111,炎症,3/15
112,アレルギー,3/15
113,発熱,3/15
114,汗,3/15
115,冷え,3/15
116,震え,3/15
117,貧血,3/15
118,咳,3/15
119,くしゃみ,3/15
120,鼻水,3/15
121,動機,3/15
122,息切れ,3/15
123,めまい,3/15
124,耳鳴り,3/15
125,嘔吐,3/15
126,逆流（食）,3/15
127,味がしない,3/15
128,力が入らない,3/15
129,その他,3/15
130,空腹・過食,3/16
131,摂食・嚥下,3/16
132,不眠・過眠,3/16
133,無呼吸・いびき,3/16
134,下痢・便秘,3/16
135,頻尿・残尿,3/16
136,その他,3/16
137,酒,4/17
138,タバコ,4/17
139,ホコリ,4/17
140,薬物,4/17
141,カフェイン,4/17
142,炭水化物（糖質）,4/17
143,砂糖類,4/17
144,脂質,4/17
145,タンパク質,4/17
146,食物繊維,4/17
147,ビタミン,4/17
148,ミネラル,4/17
149,乳酸菌,4/17
150,炭酸飲料,4/17
151,その他,4/17
152,ドーパミン,4/18
153,アドレナリン,4/18
154,ノルアドレナリン,4/18
155,セロトニン,4/18
156,メラトニン,4/18
157,アセチルコリン,4/18
158,エンドルフィン,4/18
159,その他,4/18
160,工場・焼却の煙,4/19
161,自動車排気ガス,4/19
162,粉塵,4/19
163,クーラー,4/19
164,生活排水・ゴミ,4/19
165,火山の噴火,4/19
166,森林火災・砂漠化,4/19
167,その他,4/19
168,温度,5/20
169,湿度,5/20
170,照明,5/20
171,騒音,5/20
172,混雑・散らかり,5/20
173,異臭,5/20
174,不衛生,5/20
175,家具のサイズ,5/20
176,経済,5/20
177,不規則な生活,5/20
178,その他,5/20
179,拘束・束縛,5/21
180,暴力・暴言,5/21
181,集団心理・圧力,5/21
182,ハラスメント,5/21
183,その他,5/21
184,家族・同居人,6/22
185,親族,6/22
186,近隣・隣人,6/22
187,その他,6/22
188,学校,6/23
189,部活,6/23
190,サークル,6/23
191,塾・習い事,6/23
192,職場,6/23
193,その他,6/23
194,オンラインゲーム,6/24
195,ソーシャルゲーム,6/24
196,SNS,6/24
197,配信・動画,6/24
198,掲示板,6/24
199,その他,6/24
200,睡眠,7/25
201,運動,7/25
202,トイレ,7/25
203,食事,7/25
204,娯楽・嗜好,7/25
205,デスクワーク,7/25
206,姿勢,7/25
207,休養,7/25
208,その他,7/25
209,食べ方・飲み方,7/26
210,言葉使い・話し方,7/26
211,姿勢・動作,7/26
212,生理現象,7/26
213,自責・他責思考,7/26
214,その他,7/26
215,アルコール,8/27
216,ニコチン,8/27
217,カフェイン,8/27
218,ベンゾジアゼピン,8/27
219,アドレナリン,8/27
220,薬物,8/27
221,拒食・過食,8/27
222,借金,8/27
223,潔癖,8/27
224,その他,8/27
225,ギャンブル,8/28
226,ネット,8/28
227,ゲーム,8/28
228,スマホ,8/28
229,パソコン,8/28
230,SNS,8/28
231,買い物,8/28
232,万引き・窃盗,8/28
233,テレビ・動画,8/28
234,活字,8/28
235,仕事,8/28
236,断捨離,8/28
237,ためこみ,8/28
238,自傷行為,8/28
239,その他,8/28
240,共依存,8/29
241,暴力,8/29
242,完璧主義,8/29
243,対人,8/29
244,SEX,8/29
245,その他,8/29
246,細菌・ウイルス,9/30
247,カビ,9/30
248,花粉,9/30
249,事件・事故・災害,9/30
250,怪我・病気・障害,9/30
251,その他,9/30